"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:BOP(21.0.0)","WBG.NNAFANIL_T.FAB.USD.A","OBS_VALUE","West Bank and Gaza","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-557.0","15.4002214","-778.499842","-662.271944941953","-763.901639846506","-849.842154145791","-632.93870423592","-257.828033071704","-965.534222709932","-877.125137874791","-884.829137540328","-948.176878693737","-6.69531828985957","521.485358097193","-436.213334152564","-201.47005299492","-1395.55056058665","-934.431355950805","-1549.65125418064","-1047.163584784092","-1953.311610489967","-1200.700589649953","-1569.688169546279","-1326.758453385062","-1406.392248146792","-902.765072714302","-1381.127486362907","-651.240943656482","-1691.530975479218","-2190.2550396319"
"IMF.STA:BOP(21.0.0)","ALB.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Albania","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-20.0","-58.0","-53.0","-70.0","-90.1","-47.5","-45.01","-41.2","-143.0","-207.3","-135.0","-178.0364006666667","-327.6812101714077","-258.417488710474","-314.6383168036966","-647.3652838064905","-881.2441750834867","-950.7613876220757","-1043.511678057718","-846.6166816191778","-834.8030230500904","-1225.674342475776","-1074.294190461553","-910.2567259716134","-1037.328978037452","-1128.922245433283","-1208.920405829578","-1161.056359181262","-1019.647592469525","-1168.644882545457","-1249.848499573597","-1358.20566075963","-1453.695575302157"
"IMF.STA:BOP(21.0.0)","ALB.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Albania","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","25.0","23.5","36.82","22.485018","3.641326","5.66456102209762","-34.15708766131441","-25.81","28.33527078615211","-15.76258858457433","-317.6651581976924","-94.04323385092053","43.63017243753279","150.2013575921241","155.1820280081356","-254.2569253503059","245.500179552936","-100.6766481071931","-80.6706004553092","154.7042130936124","-56.7895385462012","-92.6466102179157","601.0286494972953","349.3902806898201","450.8394372427883"
"IMF.STA:BOP(21.0.0)","ALB.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Albania","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","65.7","-68.7","-11.7","-20.5","-30.4","0.3","17.5","-5.1","-34.5","-120.3","-42.8","-6.0","4.7","-33.6","432.0","-5.3","-111.3","39.19","72.5","-68.3","36.1","-177.56","-102.5548623567522","-110.404986016406","-244.5019836691573","-254.1285595005656","-841.637113336615","-1928.177967970636","-1319.492758862772","-808.1042055194793","-1243.987165534828","-804.52773209904","-1071.28695154716","-1237.139563593048","-682.3920765493864","-685.3345188135653","-1045.411930546183","-915.4747485198801","-1018.802164179642","-960.5144753448876","-738.256754050508","-946.2550757801728","-67.8381353312851","-651.5740634112495"
"IMF.STA:BOP(21.0.0)","NIC.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Nicaragua","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-185.8","-35.1","141.7","-486.1","-575.8","-503.1","-612.66262139937","-635.293609247624","-911.641770079629","-867.61004432","-757.5979883","-667.07633794","-416.38244973","-454.40130135","12.4","-655.73","-328.59","-478.7","1127.0","3803.1","-202.9","-486.1","-815.9","-432.2","242.6","-343.6","-52.9","816.0","-369.0","484.1","1593.3","-1042.4","-292.3","-372.0999999999999","-1500.5","-1598.3","-1421.4","-1235.8","-1311.2","-1118.0","-1081.9","-621.9999999999999","345.0","0.69035997021563","-814.5685133432136","-1263.817069720398","439.3223002237434","-572.1061973298408"
"IMF.STA:BOP(21.0.0)","NIC.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Nicaragua","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-5.3","-18.0","-160.7","128.2","19.9","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","2.5","8.4","66.2","203.0","-63.1","-128.6","-67.4","0.9","139.5","-1.8","-60.3","342.0","133.0","-21.436186322558","-31.2066396057329","-226.2831160608551","-123.811985000942"
"IMF.STA:BOP(21.0.0)","NIC.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Nicaragua","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.0","-7.0","-2.8","0.0","0.0","0.0","-0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-15.0","-38.8","-46.7","-88.9","-120.0","-203.4","-218.2","-337.3","-266.5","-150.2","-203.9","-201.3","-250.0","-241.1","-265.8","-366.4","-608.4","-463.0","-474.8","-928.6","-712.3","-815.0","-982.8","-922.0","-923.8","-970.9","-762.5","-443.9","-707.0","-1032.675960655116","-1267.753433916427","-1071.8","-1278.5"
"IMF.STA:BOP(21.0.0)","KHM.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Cambodia","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-33.0","-54.124","-68.9","-150.8","-293.6","-203.7","-223.0299824138509","-223.1467294534801","-141.9105477713253","-142.109476976224","-139.0803638726937","-74.3196505580652","-121.1732292817844","-374.9021906002827","-474.8275616576289","-866.19348796115","-794.69139309146","-909.520389356833","-1383.735373141571","-1509.718402265806","-1951.922774675684","-2006.202367555948","-1771.407708336658","-1735.043113245228","-2396.841375104031","-2673.226255438429","-3088.66983670362","-3561.195451550264","-3497.632098922801","-3391.043980601995","-3428.345015460675","-3807.381867708735","-4222.818309871811"
"IMF.STA:BOP(21.0.0)","KHM.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Cambodia","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.9","68.176","-18.2","-82.4","-187.1","-185.9","-205.0862386692004","-144.3044596957569","-88.0676250519946","-18.3496975774735","-98.2637578658458","-207.0666732779077","-160.5985320257519","-238.4514017038421","-10.52856552399552","-210.3235609843355","-632.196082999093","-375.2624696420289","-743.3635054052208","-1072.434909278251","-1064.472394694861","-1458.69658531507","-971.1583854310566","-1851.471412674964","-1749.800889521049","-1754.850306755872","-2118.326786165038","-3702.0343172751","-2380.181810307424","-11973.72800838285","-6460.689509084966","-442.5616175240208","-689.490314049443"
"IMF.STA:BOP(21.0.0)","KHM.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Cambodia","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","","13.46","7.826","7.2","7.714","7.538","7.722","7.985","4.86764854584546","7.58273037704039","6.33337633926272","11.58620669311592","7.62089816197161","36.67062251602981","6.13754158527536","34.1830947736455","18.79462723584355","22.52701205084735","14.67234011649857","2.094332053229383","5.496570626861393","42.21696744601225","12.45307930985","95.95750993819826","51.20680500654136","126.1032502173471","349.9791432120692","489.4619998326633"
"IMF.STA:BOP(21.0.0)","PHL.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Philippines","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-539.0","-981.153712499512","-1240.0","-1810.0","-2543.0","-3564.0","-3138.0","-1227.0","480.01313828","956.0","-414.9999999999999","89.0","-1073.0","-2110.0","-1172.0","-1589.0","-2932.0","-2786.0","-4075.0","-6967.0","-9599.0","784.0","-431.0","-3734.0","-1051.0","-219.0","-557.0","1367.0","4243.505654670585","5452.713996931403","8385.623957158345","1458.43250265528","5524.711883812964","3752.225757160214","6081.416826291435","2487.980339866699","7315.153863168716","6773.174251603218","4917.028787661729","-862.904024889729","-3661.336037569719","-11638.27108678901","-190.849492357554","9116.02938434737","-5088.64976917169","-21148.10571029995","-9934.20712120088","-17029.20424104894"
